Timestamp,Kindly Rate your Sleep Quality 😴,How many times a week do you suffer headaches 🤕?,How would you rate you academic performance 👩‍🎓?,how would you rate your study load?,How many times a week you practice extracurricular activities 🎾?,How would you rate your stress levels?
0.0,0.5,0.0,0.5,0.75,0.25,0.5
0.0192307692307692,0.75,0.0,0.25,0.5,0.5,0.25
0.0384615384615384,0.25,0.0,0.25,0.0,0.75,0.75
0.0576923076923076,0.5,0.25,0.5,0.25,0.5,0.5
0.0769230769230769,0.25,0.5,0.0,1.0,1.0,0.5
0.0961538461538461,0.5,0.0,0.5,0.25,0.0,0.0
0.1153846153846153,0.5,1.0,0.0,0.75,0.5,1.0
0.1346153846153846,0.75,0.5,0.0,0.75,0.0,0.0
0.1538461538461538,0.25,0.0,0.75,0.75,1.0,0.0
0.173076923076923,0.0,0.25,0.5,0.25,1.0,0.25
0.1923076923076923,0.25,0.5,1.0,1.0,0.25,0.75
0.2115384615384615,0.5,0.0,1.0,0.0,0.75,0.0
0.2307692307692307,0.25,0.5,0.5,0.75,0.75,0.5
0.25,0.75,0.0,0.75,0.75,0.0,0.0
0.2692307692307693,0.75,0.0,0.5,0.25,1.0,0.25
0.2884615384615385,0.25,0.5,0.5,1.0,0.5,0.75
0.3076923076923077,0.5,0.0,0.5,0.5,0.5,0.75
0.3269230769230769,0.0,0.0,0.0,0.0,0.0,0.25
0.3461538461538461,0.25,0.0,0.5,0.0,0.25,0.5
0.3653846153846154,0.25,0.5,0.5,0.25,0.5,0.75
0.3846153846153846,0.5,0.75,0.25,0.25,0.0,0.25
0.4038461538461538,0.5,0.5,0.75,0.75,0.5,0.5
0.4230769230769231,0.25,0.0,0.25,0.5,0.25,0.25
0.4423076923076923,0.5,0.0,0.75,0.75,0.25,0.5
0.4615384615384615,1.0,0.0,0.75,0.25,0.0,0.0
0.4807692307692308,0.5,0.0,0.5,0.25,0.25,0.0
0.5,1.0,0.0,1.0,0.0,1.0,1.0
0.5192307692307693,1.0,1.0,1.0,0.0,0.0,0.0
0.5384615384615385,0.25,0.5,0.5,0.0,0.0,0.25
0.5576923076923077,0.5,0.75,0.25,0.0,0.5,0.0
0.576923076923077,1.0,0.0,0.5,1.0,1.0,1.0
0.5961538461538461,1.0,0.25,0.5,0.25,0.5,0.75
0.6153846153846154,1.0,1.0,0.75,1.0,0.25,1.0
0.6346153846153847,0.25,0.5,0.75,0.0,0.25,0.25
0.6538461538461539,0.75,0.0,1.0,0.75,1.0,0.25
0.6730769230769231,1.0,0.0,0.75,0.5,0.25,1.0
0.6923076923076923,0.75,0.0,0.0,0.25,0.75,1.0
0.7115384615384616,0.5,0.25,0.5,0.0,0.0,0.5
0.7307692307692308,0.5,0.75,0.75,1.0,0.5,0.0
0.75,0.5,0.0,0.75,0.75,0.75,0.5
0.7692307692307693,0.75,0.75,0.5,0.25,0.25,0.25
0.7884615384615385,0.75,0.0,0.75,1.0,0.0,1.0
0.8076923076923077,0.75,0.25,0.5,0.5,1.0,0.75
0.826923076923077,0.25,0.0,0.75,0.75,0.0,0.5
0.8461538461538463,1.0,0.0,0.75,1.0,0.75,1.0
0.8653846153846154,0.75,0.0,0.5,0.25,1.0,0.75
0.8846153846153847,0.25,0.0,0.75,0.75,0.0,0.75
0.903846153846154,0.75,0.5,0.5,0.25,0.25,0.25
0.9230769230769232,0.5,0.5,0.75,0.75,0.75,0.5
0.9423076923076924,0.0,0.0,0.0,0.25,0.5,0.0
0.9615384615384616,1.0,0.0,1.0,0.0,0.5,0.5
0.9807692307692308,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.5,0.25,0.5,0.25,1.0,0.25
