Timestamp,Your Academic Stage,Peer pressure,Academic pressure from your home,Study Environment,What coping strategy you use as a student?,"Do you have any bad habits like smoking, drinking on a daily basis?",What would you rate the academic  competition in your student life,Rate your academic stress index 
0.1366906474820144,1.0,0.75,1.0,0.0,0.0,0.0,0.5,1.0
0.1438848920863309,1.0,0.5,0.75,0.5,0.0,0.0,0.5,0.5
0.1510791366906475,1.0,0.0,0.0,0.5,1.0,0.0,0.25,0.75
0.158273381294964,1.0,0.5,0.25,0.5,0.0,0.0,0.75,0.5
0.1654676258992805,1.0,0.5,0.5,0.5,0.0,0.0,0.75,1.0
0.1726618705035971,1.0,0.5,0.5,0.5,0.0,0.0,0.75,0.75
0.1798561151079137,1.0,1.0,1.0,1.0,0.5,0.0,0.75,0.75
0.1870503597122302,1.0,0.5,0.25,0.5,1.0,0.0,0.5,0.5
0.1942446043165467,1.0,0.25,0.25,0.5,0.0,0.0,0.25,0.25
0.2014388489208633,1.0,0.25,0.25,0.5,0.0,0.0,0.75,0.25
0.2086330935251798,1.0,0.5,0.25,1.0,0.5,0.0,0.5,1.0
0.2158273381294964,1.0,0.75,1.0,0.5,0.0,0.0,0.5,0.5
0.2230215827338129,1.0,0.25,0.5,0.0,0.5,0.0,0.25,0.25
0.2302158273381295,1.0,0.25,0.5,1.0,0.0,0.0,0.75,0.25
0.237410071942446,1.0,0.5,0.75,1.0,1.0,1.0,0.5,0.75
0.2446043165467626,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.75
0.2517985611510791,1.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0
0.2589928057553957,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.75
0.2661870503597122,1.0,0.5,0.5,0.5,0.5,0.0,0.75,0.5
0.2733812949640288,1.0,0.5,0.75,0.5,1.0,0.0,0.75,0.5
0.2805755395683453,1.0,0.75,0.5,0.5,0.0,0.0,0.75,0.75
0.2877697841726618,1.0,0.5,0.5,0.5,0.0,0.0,0.75,0.5
0.2949640287769784,1.0,0.5,0.5,0.5,0.0,0.0,0.75,0.5
0.302158273381295,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5
0.3093525179856115,1.0,0.75,1.0,1.0,0.0,0.0,0.75,0.75
0.3165467625899281,1.0,0.75,0.5,0.5,0.0,0.0,0.75,0.75
0.3237410071942446,1.0,0.75,1.0,1.0,0.0,0.5,0.75,1.0
0.3309352517985611,0.0,0.5,0.75,1.0,0.0,0.0,0.5,0.75
0.3381294964028777,1.0,1.0,0.0,1.0,1.0,0.0,0.75,1.0
0.3453237410071942,1.0,0.75,0.5,0.5,0.0,0.0,1.0,0.75
0.3525179856115108,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0
0.3597122302158274,1.0,0.5,0.0,1.0,0.5,0.0,0.75,0.75
0.3669064748201439,1.0,0.5,0.25,0.5,0.5,0.0,0.75,0.5
